Gate number;X coordinate;Y coordinate
1;1;1
2;6;1
3;10;1
4;15;1
5;3;2
6;12;2
7;14;2
8;12;3
9;8;4
10;1;5
11;4;5
12;11;5
13;16;5
14;13;7
15;16;7
16;2;8
17;6;8
18;9;8
19;11;8
20;15;8
21;1;9
22;2;10
23;9;10
24;1;11
25;12;11
;;
Netlist 1;;
First gate number;Second gate number;
24;5;
6;8;
2;1;
16;22;
4;6;
8;14;
4;24;
24;9;
23;14;
16;18;
21;11;
16;9;
14;19;
20;3;
23;12;
11;5;
12;25;
4;16;
3;21;
4;5;
21;20;
17;10;
20;6;
4;1;
16;6;
7;15;
8;10;
10;14;
23;17;
11;8;
;;
Netlist 2;;
First gate number;Second gate number;
13;21;
24;21;
7;10;
16;11;
13;14;
9;19;
2;23;
11;21;
5;4;
11;6;
18;12;
2;22;
23;9;
23;11;
20;9;
14;20;
11;5;
10;24;
23;19;
17;22;
5;1;
19;22;
6;18;
9;24;
19;14;
14;12;
12;8;
15;8;
15;7;
15;2;
25;13;
12;16;
3;6;
12;13;
1;16;
15;6;
16;5;
20;10;
4;1;
16;14;
;;
Netlist 3;;
First gate number;d gate number;
1;14;
1;15;
1;23;
9;8;
3;7;
4;20;
4;10;
5;9;
5;10;
6;15;
7;5;
5;2;
8;24;
11;1;
11;2;
9;2;
8;6;
13;15;
14;3;
9;11;
12;1;
12;18;
12;4;
9;10;
13;25;
14;5;
14;20;
16;22;
11;4;
19;11;
25;24;
17;8;
18;16;
18;22;
18;10;
19;21;
19;3;
13;10;
2;14;
20;22;
21;7;
2;16;
3;17;
21;17;
23;12;
23;19;
3;4;
6;13;
25;16;
25;17;
